Titulo,fecha_publicacion,Vistas,Likes,Dislikes,Comentarios
We Are Better Than Dude Perfect,2017-06-24T18:40:12Z,25555513,657381,0,39155
Every Challenge I've Ever Done,2017-06-23T18:31:22Z,848440,27831,0,4644
Watching It's Everyday Bro For 10 Hours Straight,2017-06-17T21:06:02Z,27866631,824720,0,71640
"Giving A Random Homeless Man $10,000",2017-06-15T23:10:02Z,10585100,532808,0,34230
Toothpaste Life Hacks YOU SHOULD KNOW,2017-06-13T22:30:01Z,19689362,507639,0,15779
"Reading The Longest English Word (190,000 Characters)",2017-06-02T22:00:01Z,34744280,800426,0,59277
Fidget Spinner Vs Face (Legit Had To Get Stitches),2017-05-02T23:30:00Z,41084474,1600278,0,88728
Grilling A Microwave Microwaving A Microwave Microwaving A Toaster Toasting An Iphone Watching Micro,2017-03-30T22:10:41Z,1989275,69808,0,5132
#1 MOST INSANE MAGNET LIFE HACK EVER,2017-03-24T21:40:17Z,26186698,531283,0,18695
Watching Dance Till You're Dead For 10 Hours,2017-03-21T22:40:12Z,52361487,2574856,0,0
I Can't Break My Strange Addiction,2017-03-19T21:45:07Z,1812104,94037,0,9279
OMG! INSANE CUP FORT,2017-03-14T22:40:01Z,4079512,96480,0,9500
Savage Level 9000,2017-03-08T23:10:06Z,7212706,321589,0,21216
Reading The Youtube Terms Of Service,2017-03-07T23:10:02Z,507811,18776,0,3692
Reacting To The Reaction Of The Reaction To The Reaction Of The Reaction Of The Reaction To The Reac,2017-02-22T00:00:04Z,7605387,324978,0,25955
"Counting To 200,000 (Road To A Mil)",2017-02-18T00:00:03Z,3720678,147771,0,19480
Microwaving Dry Ice (Microwave Explodes),2017-02-09T22:29:35Z,3295733,96885,0,6263
"I Counted To 100,000!",2017-01-09T00:00:39Z,28392957,1366893,0,125501
we are number one but every one is a bad intro,2016-12-25T00:00:00Z,1948927,56363,0,8512
Microwaving A Microwave Microwaving A Toaster,2016-12-23T00:00:04Z,4848208,87859,0,15452
HOW TO UNLOCK ANY IPHONE WITHOUT THE PASSCODE,2016-12-21T02:00:00Z,22868383,586421,0,36435
WHY DO THEY SELL THIS ON AMAZON?,2016-12-18T02:00:04Z,8666706,726226,0,15962
Microwaving A Microwave,2016-12-09T02:45:18Z,11235086,431367,0,42197
